Pais,año,tasa_suicidio,Gasto_salud,Creci_econ,Educa_,desempleo
Perú,2012,3.32,4.74,5.267507298,93.84172821,3.24000001
Perú,2011,3.45,4.53,5.467420707,,3.480000019
Perú,2010,3.63,4.72,7.455366293,,3.579999924
Perú,2009,3.44,4.98,0.287054626,,3.980000019
Perú,2008,2.89,4.51,8.250604564,,4.039999962
Perú,2007,2.82,4.43,7.63365404,89.59081268,4.039999962
Perú,2006,2.89,4.41,6.626200639,88.69934082,4.179999828
Perú,2005,2.96,4.67,5.362369056,87.90866852,4.880000114
Perú,2004,3.06,4.43,4.000695407,87.66985321,4.699999809
Perú,2003,3.24,4.59,3.132769336,,4.150000095
Perú,2002,3.17,4.94,4.279670571,,4.840000153
Perú,2001,3.18,4.72,-0.656177993,,5.026000023
Perú,2000,3.43,4.41,1.213143617,,4.883999825
Estados Unidos,2019,14.51,16.77,1.697011299,,3.670000076
Estados Unidos,2018,14.09,16.69,2.455679199,,3.900000095
Estados Unidos,2017,14.41,16.81,1.687321406,,4.360000134
Estados Unidos,2016,13.65,16.84,0.977012682,,4.869999886
Estados Unidos,2015,12.86,16.52,2.319441456,,5.28000021
Estados Unidos,2014,12.4,16.25,1.776837703,,6.170000076
Estados Unidos,2013,12.04,16.06,1.138896602,,7.369999886
Estados Unidos,2012,12.06,16.18,1.502187905,,8.069999695
Estados Unidos,2011,12.01,16.2,0.815453101,,8.949999809
Estados Unidos,2010,11.72,16.26,1.716400257,,9.630000114
Estados Unidos,2009,11.42,16.23,-3.387435662,,9.25
Estados Unidos,2008,11.4,15.27,-1.076700085,,5.78000021
Estados Unidos,2007,11.19,14.94,0.911865594,,4.619999886
Estados Unidos,2006,10.96,14.72,1.867955516,,4.619999886
Estados Unidos,2005,10.69,14.61,2.563502409,,5.079999924
Estados Unidos,2004,10.79,14.59,2.84268064,,5.53000021
Estados Unidos,2003,10.57,14.5,1.980925835,,5.989999771
Estados Unidos,2002,10.63,13.98,0.802103854,,5.78000021
Estados Unidos,2001,10.33,13.16,0.003648976,,4.730000019
Estados Unidos,2000,10.02,12.48,2.975208629,,3.99000001
Uruguay,2019,18.83,9.35,-0.010198984,98.7703476,8.880000114
Uruguay,2018,18.85,9.01,0.109558006,98.70385742,8.340000153
Uruguay,2017,18.54,8.82,1.257929132,98.61572266,7.889999866
Uruguay,2016,18.7,8.68,1.329681214,98.56147003,7.840000153
Uruguay,2015,16.66,8.29,0.030270417,98.52387238,7.489999771
Uruguay,2014,15.77,8.07,2.904735403,98.43592834,6.550000191
Uruguay,2013,14.16,8.12,4.314590135,98.36386871,6.440000057
Uruguay,2012,16.1,8.07,3.230258359,98.39594269,6.449999809
Uruguay,2011,15.02,7.95,4.86081146,98.33589935,6.309999943
Uruguay,2010,14.26,7.91,7.495429539,98.07270813,7.159999847
Uruguay,2009,13.37,7.95,3.949250124,98.26722717,7.739999771
Uruguay,2008,13.51,8.13,6.904435822,98.16355896,8.029999733
Uruguay,2007,15.79,7.49,6.338452994,97.8638916,9.399999619
